id,category,question,expected_conflict_type,predicted_conflict_type,conflict_type_correct,expected_strategy,predicted_strategy,strategy_correct,expected_abstain,predicted_abstain,abstain_correct,predicted_verified,overall_correct,latency_seconds,final_answer,conflict_explanation
T01,temporal_conflict,What is the current monthly parking allowance?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,True,15.4392,Employees receive a monthly parking allowance of $120.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
T02,temporal_conflict,How many days of parental leave are currently provided?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,True,15.0269,Employees receive 30 days of parental leave.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
T03,temporal_conflict,What is the current annual learning budget?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,True,14.7337,Employees may receive up to $1200 per year for professional learning.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
T04,temporal_conflict,What is the current maximum hotel reimbursement per night?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,True,17.0068,Employees may claim up to $220 per night for approved hotel stays.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
T05,temporal_conflict,How many personal days are currently allowed per year?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,True,17.4787,Employees receive 5 personal days each year.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
T06,temporal_conflict,What is the current home-office equipment allowance?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,True,17.6839,Remote employees receive a home-office equipment allowance of $600.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
D01,direct_factual_conflict,What is the annual wellness stipend?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,True,32.083,"The annual wellness stipend amount is either $500 or $750, depending on the source provided. Both sources are equally relevant and applicable to the user's question.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
D02,direct_factual_conflict,How many paid volunteer days are provided each year?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,True,27.4345,"The available sources contain conflicting information, and there is not enough evidence to determine which position should be preferred.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
D03,direct_factual_conflict,What is the maximum annual certification reimbursement?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,True,37.8183,"The maximum annual certification reimbursement can be either $900 or $1100, depending on the source used. The evidence from 'certification_source_a.txt' suggests a reimbursement of $900, while 'certification_source_b.txt' suggests a reimbursement of $1100.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
D04,direct_factual_conflict,How many sick days are employees entitled to each year?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,True,24.5743,"The available sources contain conflicting information, and there is not enough evidence to determine which position should be preferred.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
D05,direct_factual_conflict,What is the monthly internet reimbursement amount?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,True,37.0697,"The provided evidence presents two conflicting claims about the monthly internet reimbursement amount. The first claim states that employees receive $40 per month, while the second claim states that employees receive $60 per month. Without additional context or a clear preference, both positions are presented.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
D06,direct_factual_conflict,How much can employees spend on team meals per person?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,True,41.1549,"The team meal limit can be either $35 per person or $50 per person, depending on the source provided. Please provide more context or specify which source to trust for a definitive answer.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
C01,conditional_conflict,What meal allowance applies to domestic and international travel?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,True,28.6777,This policy applies only to domestic business travel. Employees may claim up to $65 per day for meals. This policy applies only to international business travel. Employees may claim up to $100 per day for meals.,"The relevant claims apply under different explicit conditions or populations: domestic business travel, international business travel."
C02,conditional_conflict,What equipment allowance applies to full-time and contract workers?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,True,26.9099,This policy applies only to full-time employees. Full-time employees receive a $700 equipment allowance. This policy applies only to contract workers. Contract workers receive a $300 equipment allowance.,"The relevant claims apply under different explicit conditions or populations: contract workers, full-time employees."
C03,conditional_conflict,How many training days do junior and senior engineers receive?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,True,26.7137,This policy applies only to junior engineers. Junior engineers receive 3 paid training days each year. This policy applies only to senior engineers. Senior engineers receive 6 paid training days each year.,"The relevant claims apply under different explicit conditions or populations: junior engineers, senior engineers."
C04,conditional_conflict,What relocation support is available for domestic and overseas transfers?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,True,30.8465,This policy applies only to domestic transfers. Employees may receive up to $3000 in relocation support. This policy applies only to international transfers. Employees may receive up to $8000 in relocation support.,"The relevant claims apply under different explicit conditions or populations: domestic transfers, international transfers."
C05,conditional_conflict,What remote-work schedule applies to managers and individual contributors?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,True,27.2968,This policy applies only to managers. Managers may work remotely two days per week. Individual contributors may work remotely three days per week. This policy applies only to individual contributors.,"The relevant claims apply under different explicit conditions or populations: individual contributors, managers."
C06,conditional_conflict,What conference budget applies to employees in the US and Europe?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,True,31.5518,This policy applies only to employees based in the United States. Employees may spend up to $1500 per year on conferences. This policy applies only to employees based in Europe. Employees may spend up to $2000 per year on conferences.,"The relevant claims apply under different explicit conditions or populations: employees based in europe, employees based in the united states."
R01,source_reliability_conflict,What is the laptop replacement cycle?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,True,22.8562,Employees receive a replacement laptop every 4 years.,The sources provide incompatible factual values and explicitly differ in authority or document status.
R02,source_reliability_conflict,What is the annual tuition reimbursement limit?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,True,23.3964,Employees may receive up to $5000 per year in tuition reimbursement.,The sources provide incompatible factual values and explicitly differ in authority or document status.
R03,source_reliability_conflict,What is the maximum taxi reimbursement per trip?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,True,22.0646,Employees may claim up to $75 per taxi trip.,The sources provide incompatible factual values and explicitly differ in authority or document status.
R04,source_reliability_conflict,How many bereavement leave days are provided?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,True,18.4637,Employees receive 5 paid bereavement leave days.,The sources provide incompatible factual values and explicitly differ in authority or document status.
R05,source_reliability_conflict,What is the approved annual phone reimbursement?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,True,23.645,Employees may receive $600 per year for approved phone expenses.,The sources provide incompatible factual values and explicitly differ in authority or document status.
R06,source_reliability_conflict,What is the official client meal limit?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,True,26.6083,The client meal limit is $80 per person.,The sources provide incompatible factual values and explicitly differ in authority or document status.
A01,ambiguous_question,What meal allowance applies during travel?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,True,False,28.9171,This policy applies only to domestic travel. Employees may claim $60 per day for meals. This policy applies only to international travel. Employees may claim $95 per day for meals.,"The relevant claims apply under different explicit conditions or populations: domestic travel, international travel."
A02,ambiguous_question,How much relocation support is available?,ambiguous_question,ambiguous_question,True,ask_for_clarification,ask_for_clarification,True,False,False,True,True,True,22.3655,Do you mean domestic relocations or international relocations?,"The evidence contains different answers for different conditions or populations: domestic relocations, international relocations. The question does not specify which condition or population is intended, so clarification is required."
A03,ambiguous_question,How many training days are available?,ambiguous_question,ambiguous_question,True,ask_for_clarification,ask_for_clarification,True,False,False,True,True,True,23.2773,Do you mean junior employees or senior employees?,"The evidence contains different answers for different conditions or populations: junior employees, only, senior employees. The question does not specify which condition or population is intended, so clarification is required."
A04,ambiguous_question,What equipment budget is provided?,ambiguous_question,ambiguous_question,True,ask_for_clarification,ask_for_clarification,True,False,False,True,True,True,21.7179,Do you mean full-time employees or contractors?,"The evidence contains different answers for different conditions or populations: contractors, full-time employees. The question does not specify which condition or population is intended, so clarification is required."
A05,ambiguous_question,How many remote days are allowed?,ambiguous_question,ambiguous_question,True,ask_for_clarification,ask_for_clarification,True,False,False,True,True,True,20.9307,Do you mean managers or individual contributors?,"The evidence contains different answers for different conditions or populations: individual contributors, managers. The question does not specify which condition or population is intended, so clarification is required."
