id,category,question,expected_conflict_type,predicted_conflict_type,conflict_type_correct,expected_strategy,predicted_strategy,strategy_correct,expected_abstain,predicted_abstain,abstain_correct,overall_correct,latency_seconds,final_answer,explanation
T01,temporal_conflict,What is the current monthly parking allowance?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,5.6091,$120,"The 2026 parking allowance policy explicitly supersedes the 2024 policy. Therefore, the current monthly parking allowance is $120."
T02,temporal_conflict,How many days of parental leave are currently provided?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,5.9397,30 days,"The 2026 policy explicitly supersedes the 2023 policy, providing 30 days of parental leave. Therefore, the current policy is 30 days."
T03,temporal_conflict,What is the current annual learning budget?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,5.9369,$1200,"The 2025 learning budget policy explicitly supersedes the 2022 policy, making the 2025 policy the current one."
T04,temporal_conflict,What is the current maximum hotel reimbursement per night?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,6.0158,$220,"The 2026 policy explicitly supersedes the 2024 policy, making the 2026 policy the current maximum hotel reimbursement per night."
T05,temporal_conflict,How many personal days are currently allowed per year?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,5.4316,5 personal days,"The 2025 policy explicitly supersedes the 2023 policy, and thus the newer policy is preferred."
T06,temporal_conflict,What is the current home-office equipment allowance?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,prefer_newer_authoritative_source,True,False,False,True,True,5.8186,$600,"The 2026 policy explicitly supersedes the 2024 policy, making the $600 allowance the current home-office equipment allowance."
D01,direct_factual_conflict,What is the annual wellness stipend?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,5.3266,$500 and $750,"The evidence provides two conflicting claims about the annual wellness stipend amount, with one source stating $500 and the other stating $750. There is no clear temporal, conditional, or authority difference to resolve this conflict."
D02,direct_factual_conflict,How many paid volunteer days are provided each year?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,present_both_positions,True,False,False,True,True,6.867,"The provided evidence contains conflicting claims about the number of paid volunteer days provided each year. One source states that employees receive 2 paid volunteer days each year, while another source states that employees receive 4 paid volunteer days each year. The question cannot be definitively answered without additional information or clarification.","The two claims provided in the evidence directly contradict each other, with one stating 2 paid volunteer days and the other stating 4 paid volunteer days. There is no clear authority or newer policy to prefer over the other, thus both sources are presented."
D03,direct_factual_conflict,What is the maximum annual certification reimbursement?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,prefer_newer_authoritative_source,False,False,False,True,False,7.1802,$1100,"The evidence provides two conflicting claims about the maximum annual certification reimbursement. 'certification_source_a.txt' states a maximum of $900 per year, while 'certification_source_b.txt' states a maximum of $1100 per year. Since 'certification_source_b.txt' is the newer source, it is preferred over 'certification_source_a.txt'."
D04,direct_factual_conflict,How many sick days are employees entitled to each year?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,prefer_newer_authoritative_source,False,False,False,True,False,7.1321,10 paid sick days per year,"The evidence provides two conflicting claims about the number of sick days employees are entitled to each year. 'sick_leave_a.txt' states 8 paid sick days, while 'sick_leave_b.txt' states 10 paid sick days. 'sick_leave_b.txt' is the newer and presumably more authoritative source, as it is not specified which version is the current policy."
D05,direct_factual_conflict,What is the monthly internet reimbursement amount?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,prefer_newer_authoritative_source,False,False,False,True,False,6.1872,$60,"The evidence provides two conflicting claims. The newer source (internet_b.txt) states that employees receive $60 per month for internet expenses, while the older source (internet_a.txt) states $40. The newer source is preferred as it is likely the most up-to-date and authoritative."
D06,direct_factual_conflict,How much can employees spend on team meals per person?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,prefer_newer_authoritative_source,False,False,False,True,False,7.9143,$50,"The evidence contains two claims with conflicting values. 'team_meal_a.txt' states the limit is $35 per person, while 'team_meal_b.txt' states the limit is $50 per person. 'team_meal_b.txt' is the newer and presumably more authoritative source, hence the limit is $50 per person."
C01,conditional_conflict,What meal allowance applies to domestic and international travel?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,9.938,"For domestic travel, the meal allowance is $65 per day. For international travel, the meal allowance is $100 per day.","The evidence provides two different policies for meal allowances based on the type of travel (domestic or international). The domestic travel policy states that employees may claim up to $65 per day for meals, while the international travel policy states that employees may claim up to $100 per day for meals. The question does not specify the type of travel, so both policies are valid under their respective conditions."
C02,conditional_conflict,What equipment allowance applies to full-time and contract workers?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,8.2777,"Full-time employees receive a $700 equipment allowance, while contract workers receive a $300 equipment allowance.","The evidence provides two different policies for equipment allowances: one for full-time employees and another for contract workers. The question does not specify which type of worker is being referred to, so both allowances are provided as the answer."
C03,conditional_conflict,How many training days do junior and senior engineers receive?,conditional_conflict,no_conflict,False,explain_conditional_difference,no_resolution_needed,False,False,False,True,False,7.7685,"Junior engineers receive 3 paid training days each year, and senior engineers receive 6 paid training days each year.",Both evidence sources provide the required information without any direct factual conflict. The question can be answered based on the information provided in the junior_training.txt and senior_training.txt documents.
C04,conditional_conflict,What relocation support is available for domestic and overseas transfers?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,9.7714,"For domestic transfers, employees may receive up to $3000 in relocation support. For international transfers, employees may receive up to $8000 in relocation support.","The evidence provides two different policies for domestic and international transfers. The domestic policy states that employees may receive up to $3000 in relocation support, while the international policy states that employees may receive up to $8000 in relocation support. The question does not specify whether the transfer is domestic or international, so both policies are valid under their respective conditions."
C05,conditional_conflict,What remote-work schedule applies to managers and individual contributors?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,8.0486,"Managers may work remotely two days per week, while individual contributors may work remotely three days per week.",The evidence provides two different policies for remote work schedules: one for managers and another for individual contributors. The policies are conditional on the role of the employee (manager or individual contributor).
C06,conditional_conflict,What conference budget applies to employees in the US and Europe?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,explain_conditional_difference,True,False,False,True,True,10.5203,"The conference budget applies to employees in the US with a limit of $1500 per year, and to employees in Europe with a limit of $2000 per year.","The evidence provides two separate policies for employees in the US and Europe. The policy for employees in the US allows a conference spending limit of $1500 per year, while the policy for employees in Europe allows a conference spending limit of $2000 per year. These are conditional differences based on the location of the employees."
R01,source_reliability_conflict,What is the laptop replacement cycle?,source_reliability_conflict,direct_factual_conflict,False,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,False,9.2562,Employees receive a replacement laptop every 4 years.,"The 'it_official.txt' source provides the official policy that employees receive a replacement laptop every 4 years, while the 'employee_forum.txt' source offers an unofficial claim of every 3 years. The official policy from 'it_official.txt' is chosen as the authoritative source."
R02,source_reliability_conflict,What is the annual tuition reimbursement limit?,source_reliability_conflict,direct_factual_conflict,False,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,False,10.0846,$5000,"The 'hr_tuition.txt' document is the official company policy and provides a factual value of $5000 for tuition reimbursement per year. The 'staff_notes_tuition.txt' document is an unofficial source and provides a higher value of $7000. Since the official policy is the authoritative source, the $5000 limit is selected."
R03,source_reliability_conflict,What is the maximum taxi reimbursement per trip?,source_reliability_conflict,direct_factual_conflict,False,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,False,10.2773,$75,"The 'finance_transport.txt' source provides an official company policy stating that employees may claim up to $75 per taxi trip. The 'travel_chat_notes.txt' source, being an informal employee note, provides a higher claim limit of $100 per taxi trip. Since the question asks for the maximum reimbursement per trip, and the official policy is the authoritative source, the answer is $75."
R04,source_reliability_conflict,How many bereavement leave days are provided?,source_reliability_conflict,direct_factual_conflict,False,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,False,9.5893,5,"The 'official_leave_handbook.txt' provides a factual value of 5 paid bereavement leave days, while the 'employee_leave_notes.txt' provides a value of 7 paid bereavement leave days. The 'official_leave_handbook.txt' is considered the authoritative source as it is from the Human Resources Department, which is the source authority. Therefore, the value of 5 is selected as the answer."
R05,source_reliability_conflict,What is the approved annual phone reimbursement?,source_reliability_conflict,direct_factual_conflict,False,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,False,8.4712,$600 per year,"The finance_phone_policy.txt provides the official and authoritative information, which states that employees may receive $600 per year for approved phone expenses. The team_phone_notes.txt, while providing a higher amount, is an unofficial source and thus is preferred over the official policy."
R06,source_reliability_conflict,What is the official client meal limit?,source_reliability_conflict,source_reliability_conflict,True,prefer_authoritative_source,prefer_authoritative_source,True,False,False,True,True,8.137,$80,"The Finance Department's policy is marked as Official Company Policy, while the Sales Team Notes are marked as Unofficial. Therefore, the official source should be preferred."
A01,ambiguous_question,What meal allowance applies during travel?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,False,10.2367,"The meal allowance applies differently based on whether the travel is domestic or international. For domestic travel, employees may claim $60 per day for meals. For international travel, employees may claim $95 per day for meals.","The evidence provides two different policies for meal allowances based on the type of travel (domestic or international). The policies are conditional on the travel condition, and the question does not specify the type of travel, so both conditions should be explained."
A02,ambiguous_question,How much relocation support is available?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,False,11.1618,"The relocation support amount is conditional on the type of relocation (domestic or international). For domestic relocations, employees may receive $2500 in relocation support, while for international relocations, employees may receive $7500 in relocation support.","The evidence provides two different policies for domestic and international relocations. The domestic relocation policy states that employees may receive $2500 in relocation support, while the international relocation policy states that employees may receive $7500 in relocation support. The type of relocation (domestic or international) determines the applicable relocation support amount."
A03,ambiguous_question,How many training days are available?,ambiguous_question,conditional_conflict,False,ask_for_clarification,explain_conditional_difference,False,False,False,True,False,9.9142,"The number of training days available depends on whether the employee is a junior or senior. Junior employees receive 2 training days, while senior employees receive 5 training days.","The evidence provides two different claims regarding the number of training days available for junior and senior employees. The question asks for a general answer, but the conditions (whether the employee is junior or senior) are not specified. Therefore, the answer is that the number of training days available depends on the employee's role."
