id,dataset_source,original_conflict_type,scored,question,expected_conflict_type,predicted_conflict_type,conflict_type_correct,resolution_strategy,selected_source,abstained,verified,latency_seconds,reference_answer,final_answer,conflict_explanation
EXT001,situated_qa_temp,No conflict,True,what is the most viewed video on youtube ever,no_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,Top 10 most-watched videos on YouTube globally as of 2024,False,False,28.8524,Baby Shark Dance,"As of 2024, the most viewed video on YouTube is 'Baby Shark Dance' with 15.17 billion views.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT002,situated_qa_temp,Complementary information,True,What treatments exist for Alzheimer's disease?,ambiguous_question,direct_factual_conflict,False,present_both_positions,,False,True,59.9463, ,"There is no cure for Alzheimer's disease, but there are treatments that can temporarily reduce symptoms and provide support to help someone with the condition and their family cope with everyday life. The main medicines for Alzheimer's disease are Acetylcholinesterase (AChE) inhibitors, which increase levels of acetylcholine, a substance in the brain that helps nerve cells communicate with each other. These medicines can currently only be prescribed by specialists, such as psychiatrists or neurologists.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT003,situated_qa_geo,Complementary information,True,when did dragon ball z air,ambiguous_question,ambiguous_question,True,ask_for_clarification,,False,True,20.17, ,Could you clarify which condition or population you mean?,"The evidence contains different answers for different conditions or populations: 20th anniversary celebrations, funimation acquired a year before. The question does not specify which condition or population is intended, so clarification is required."
EXT004,conflicting_qa,No conflict,True,Can gene therapy reverse the aging process?,no_conflict,temporal_conflict,False,prefer_newer_authoritative_source,'Chemical cocktail' may reverse aging in just 1 week | Fortune Well,False,True,23.86,Yes,Harvard scientists have identified a drug combo that may reverse aging in just one week.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT005,qacc,Complementary information,True,Where do you go to get a mortgage loan?,ambiguous_question,temporal_conflict,False,prefer_newer_authoritative_source,Home Mortgage Loans from Bank of America,False,True,22.2338, ,Please contact us to discuss mortgage needs.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT006,freshqa,Complementary information,True,What is the minimum hourly wage in Massachusetts right now?,conditional_conflict,conditional_conflict,True,explain_conditional_difference,,False,True,23.4339,$15,"The state adopts the federal minimum wage rate by reference if the federal rate is greater than the State rate. Maine If the highest federal minimum wage is increased in excess of the State minimum wage in effect, then the State minimum wage will increase to the same amount, effective on the same date as the increase in the federal minimum wage. The Massachusetts minimum wage increased to $15 per hour on January 1, 2023 for non-tipped employees. The Massachusetts tipped employee minimum wage is $6.75 per hour.","The relevant claims apply under different explicit conditions or populations: for non-tipped employees, if the federal rate is greater than the state rate, if the highest federal minimum wage is increased in excess of the state minimum wage in effect, if you run a business with tipped employees (defined as employees who receive more than $20 a month in tips)."
EXT007,freshqa,Conflict due to outdated information,True,How many novels has Stephen King published?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,Stephen King Books in Order (Updated 2024) - BiblioLifestyle,False,True,16.9631,Over 60,"The earliest book in Stephen King's list is Carrie, published in 1974.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT008,conflicting_qa,Complementary information,True,Is it bad to brush your teeth more than twice a day?,conditional_conflict,direct_factual_conflict,False,present_both_positions,,False,True,57.0217,"While not always bad, brushing more than 2 times a day could be harmful so should be done with caution","Based on the evidence provided, there is a direct factual conflict regarding whether it is bad to brush your teeth more than twice a day. The sources 'How Long (and Often) To Brush Your Teeth - Cleveland Clinic' and 'Do You Brush Your Teeth Too Much?' both recommend brushing twice a day, while 'Is It Bad to Brush Your Teeth More Than Twice a Day? - Oral Health ...' suggests that brushing more than twice a day can lead to tooth enamel wearing down and damage to gums. Therefore, both sources provide conflicting information on this point.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT009,situated_qa_geo,Complementary information,True,when was red bull released,ambiguous_question,temporal_conflict,False,prefer_newer_authoritative_source,History of Red Bull: Giving Wiiings Since 1987,False,True,22.2178, ,Red Bull was founded in 1987.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT010,freshqa,Conflict due to outdated information,True,Do Tesla and X Corp. have the same CEO?,temporal_conflict,temporal_conflict,True,prefer_newer_authoritative_source,X Corp. - Wikipedia,False,True,34.2226,No,"On May 11, 2023, Musk tweeted that he had found his replacement as Twitter and X Corp.'s CEO.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT011,conflicting_qa,Conflicting opinions and research outcomes,True,Is Subliminal Advertising Real?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,62.2919, ,"The provided evidence supports the notion that subliminal advertising is a real phenomenon, but does not provide enough information to determine its validity or effectiveness. There is no direct contradiction between the sources, but they do not explicitly state whether subliminal advertising is real or not.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT012,situated_qa_temp,Complementary information,True,Which language do Lithuanians speak?,conditional_conflict,temporal_conflict,False,prefer_newer_authoritative_source,Lithuanian language (lietuvių kalba) - UCL,False,True,36.708,Lithuanian,Lithuanian belongs to the family of Baltic languages.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT013,situated_qa_geo,Complementary information,True,who has the biggest airport,ambiguous_question,temporal_conflict,False,prefer_newer_authoritative_source,List of busiest airports by passenger traffic - Wikipedia,False,True,35.1946, ,The Airports Council International's (ACI) annual figures are always used in the final presentation and ranking.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT014,qacc,Conflicting opinions and research outcomes,True,what was the population of the roman empire at its height?,direct_factual_conflict,ambiguous_question,False,ask_for_clarification,,False,True,26.2185, ,Could you clarify which condition or population you mean?,"The evidence contains different answers for different conditions or populations: according to some historians, geography and demography. The question does not specify which condition or population is intended, so clarification is required."
EXT015,freshqa,Conflict due to misinformation,False,What is the best-selling jazz album of all time?,,direct_factual_conflict,,present_both_positions,,False,True,36.58,Kind of Blue,"The best-selling jazz album of all time is a matter of opinion and can vary based on different criteria. The evidence provided indicates that 'Kind Of Blue' is considered one of the top-selling jazz albums of all time, but it does not explicitly state that it is the best-selling. Other sources might have different opinions.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT016,freshqa,Conflict due to outdated information,True,Who is the current ATP top-ranked men's singles tennis player?,temporal_conflict,insufficient_evidence,False,abstain,,True,True,18.0262,Jannik Sinner ( ITA ),I do not have enough evidence to answer this question reliably.,The supplied evidence does not contain claims relevant to the question. Therefore there is insufficient evidence to provide a reliable answer.
EXT017,situated_qa_geo,Complementary information,True,when did women get the vote,conditional_conflict,direct_factual_conflict,False,present_both_positions,,False,True,90.2758,"August 18, 1920","The 19th Amendment to the U.S. Constitution, which granted women the right to vote, was ratified on August 18, 1920. This information is provided by the source '19th Amendment to the U.S. Constitution: Women's Right to Vote ...'. However, it is important to note that the evidence also includes information about women's suffrage in other countries, which is provided by the source 'Women's suffrage - Wikipedia'.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT018,qacc,Complementary information,True,what's the highest point in the us?,conditional_conflict,temporal_conflict,False,prefer_newer_authoritative_source,United States: highest point in each state or territory - Statista,False,True,45.7187,Denali in Alaska ,"The highest point in the United States is Denali, Alaska (formerly known as Mount McKinley) at 20,310 feet (6.2km) above sea level.","The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT019,qacc,Conflict due to misinformation,False,When did season 5 of prison break come out?,,direct_factual_conflict,,prefer_newer_authoritative_source,Season 5 – Prison Break - Rotten Tomatoes,False,False,65.7255,"April 4, 2017","Season 5 of Prison Break came out on April 5, 2024.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT020,freshqa,Conflict due to outdated information,True,Who is the highest-paid athlete in the world?,temporal_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,Forbes 2024 World's Highest-Paid Athletes List,False,False,51.1188,Cristiano Ronaldo,"Based on the information provided by the Forbes 2024 World's Highest-Paid Athletes List, Cristiano Ronaldo is the world's highest-paid athlete for the fourth time in his career, earning an estimated $260 million over the last 12 months.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT021,situated_qa_geo,Conflict due to misinformation,False,when was nutella first sold,,ambiguous_question,,ask_for_clarification,,False,True,42.2752,1964,Could you clarify which condition or population you mean?,"The evidence contains different answers for different conditions or populations: after world war ii, named after a local carnival character, named after the giandujot paste. The question does not specify which condition or population is intended, so clarification is required."
EXT022,conflicting_qa,Conflicting opinions and research outcomes,True,Should animals be used for research?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,83.2133, ,"The provided evidence supports both the use and the non-use of animals in research. Some sources argue for the necessity of animal research due to the complexity of human systems and the need for safety testing of new treatments. Other sources emphasize the biological similarities between animals and humans and the ability to control the environment around the animal, which supports the use of animals in research. There is no clear consensus among the sources provided.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT023,qacc,No conflict,True,who sings gone gone gone she been gone so long?,no_conflict,temporal_conflict,False,prefer_newer_authoritative_source,"My Girl (Gone, Gone, Gone) (1981) - Chilliwack - YouTube",False,True,49.5258,Chiliwack,Google automatically detects requests coming from your computer network which appear to be in violation of the Terms of Service.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT024,conflicting_qa,Conflicting opinions and research outcomes,True,Does centrifugal force exist?,direct_factual_conflict,direct_factual_conflict,True,present_both_positions,,False,True,84.89, ,"The provided evidence does not contain any direct claims regarding the existence of centrifugal force. The first piece of evidence discusses a centrifugal force-driven system for generating micronozzles, while the second piece discusses the concept of centrifugal force and its behavior. Since there are no direct claims about the existence of centrifugal force in the provided evidence, there is no conflict to detect.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT025,situated_qa_geo,Complementary information,True,what type of french is spoken,ambiguous_question,direct_factual_conflict,False,present_both_positions,,False,True,49.7772, ,"The provided sources do not specify the type of French spoken in a particular context. The sources 'French language - Wikipedia' and '9 French Dialects from Around the World | Voice Crafters' provide information about the distribution and status of French in various contexts, including Canada and Haiti, but do not specify the type of French spoken in a particular region or context.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT026,situated_qa_temp,Conflict due to outdated information,True,when was the last time cleveland browns went to playoffs,temporal_conflict,direct_factual_conflict,False,prefer_newer_authoritative_source,Cleveland Browns Playoff History | 1950 - 2024 - Champs or Champs,False,False,34.8683,2023,"The Cleveland Browns last went to the playoffs in 2023, in the Wild Card Round.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT027,situated_qa_geo,Complementary information,True,when was the multiculturalism policy passed,conditional_conflict,temporal_conflict,False,prefer_newer_authoritative_source,Canadian Multiculturalism Act,False,True,40.3865,1971,The Canadian Multiculturalism Act was introduced by David Crombie on 1 December 1987.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT028,freshqa,Conflict due to outdated information,True,Who is the most recent former Prime Minister of the United Kingdom?,temporal_conflict,direct_factual_conflict,False,prefer_authoritative_source,British Prime Ministers | University of Oxford,False,False,63.9967,Rishi Sunak,"The most recent former Prime Minister of the United Kingdom is Theresa May, who served from July 2016 to June 2017.","The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
EXT029,situated_qa_geo,Complementary information,True,when did we first wear green and gold,ambiguous_question,temporal_conflict,False,prefer_newer_authoritative_source,National colours of Australia - Wikipedia,False,True,39.7954, ,The first Australian national sporting team to wear green and gold was the Australian cricket team that toured England in 1899.,"The relevant sources contain different values and explicit temporal evidence such as different policy years, versions, or supersession."
EXT030,freshqa,Conflict due to misinformation,False,How many FIFA World Cups has Argentina won?,,direct_factual_conflict,,prefer_newer_authoritative_source,Argentina at the FIFA World Cup - Wikipedia,False,False,75.1088,3,Argentina has won 3 FIFA World Cups.,"The relevant sources provide incompatible factual values, and there is no explicit temporal, conditional, or source-authority difference that explains the disagreement. Therefore this is a direct factual conflict."
